instrumentToken|instrumentName|name|lastPrice|expiry|strike|tickSize|lotSize|instrumentType|segment|exchange|isin|multiplier|exchangeToken|OptionType
96|ADROITINFO|Adroit Infotech Ltd|17.3|0|0|0.050000|1|EQ|CASH|NSE|INE737B01033|1|4953|- 
76572|ADVENZYMES|Advanced Enzyme Technologies Ltd|282.3|0|0|0.050000|1|EQ|CASH|NSE|INE837H01020|1|18039|- 
1811|ADVANIHOTR|Advani Hotels & Resorts (India) Ltd|82.2|0|0|0.050000|1|EQ|CASH|NSE|INE199C01026|1|14745|- 
734|AEGISCHEM|Aegis Logistics Ltd|299.4|0|0|0.050000|1|EQ|CASH|NSE|INE208C01025|1|40|- 
12314|AETHER|Aether Industries Ltd|1004.2|0|0|0.050000|1|EQ|CASH|NSE|INE0BWX01014|1|9810|- 
13693|AFFLE|Affle India Ltd|1181.65|0|0|0.050000|1|EQ|CASH|NSE|INE00WC01027|1|11343|- 
198399|AGARIND|Agarwal Industrial Corporation Ltd|690.7|0|0|0.050000|1|EQ|CASH|NSE|INE204E01012|1|3389|- 
1292|AGI|AGI Greenpac Ltd|323.45|0|0|0.050000|1|EQ|CASH|NSE|INE415A01038|1|1412|- 
139923|AGRITECH|Agri-Tech (India) Ltd|110.05|0|0|0.050000|1|EQ|CASH|NSE|INE449G01018|1|11072|- 
12348|AGROPHOS|Agro Phos India Ltd|37.2|0|0|0.050000|1|EQ|CASH|NSE|INE740V01019|1|9046|- 
1409|ATFL|Agro Tech Foods Ltd|780.15|0|0|0.050000|1|EQ|CASH|NSE|INE209A01019|1|1663|- 
11947|AGSTRA|AGS Transact Technologies Ltd|85.25|0|0|0.050000|1|EQ|CASH|NSE|INE583L01014|1|7927|- 
8695|AHLUCONT|Ahluwalia Contracts (India) Ltd|437.65|0|0|0.050000|1|EQ|CASH|NSE|INE758C01029|1|17833|- 
7667|AIAENG|AIA Engineering Ltd|2648.35|0|0|0.050000|1|EQ|CASH|NSE|INE212H01026|1|13086|- 
15528|AIRAN|Airan Ltd|17.65|0|0|0.050000|1|EQ|CASH|NSE|INE645W01026|1|9897|- 
5361|AIROLAM|Airo Lam Ltd|109.05|0|0|0.050000|1|EQ|CASH|NSE|INE801L01010|1|6068|- 
2964|AJANTPHARM|Ajanta Pharma Ltd|1261.8|0|0|0.050000|1|EQ|CASH|NSE|INE031B01049|1|8124|- 
197|AJMERA|Ajmera Realty & Infra India Ltd|250.5|0|0|0.050000|1|EQ|CASH|NSE|INE298G01027|1|17307|- 
25449|AJOONI|Ajooni Biotech Ltd|7.05|0|0|0.050000|1|EQ|CASH|NSE|INE820Y01021|1|3403|- 
9299|AJRINFRA|AJR Infra & Tolling Ltd|1.5|0|0|0.050000|1|EQ|CASH|NSE|INE181G01025|1|15389|- 
12221|AKASH|Akash Infraprojects Ltd|38|0|0|0.050000|1|EQ|CASH|NSE|INE737W01013|1|13510|- 
3288|AKSHOPTFBR|Aksh Optifibre Ltd|10.1|0|0|0.050000|1|EQ|CASH|NSE|INE523B01011|1|8591|- 
12668|AKSHAR|Akshar Spintex Ltd|34.55|0|0|0.050000|1|EQ|CASH|NSE|INE256Z01017|1|9558|- 
34861|AKSCHEM|AksharChem (India) Ltd|329.15|0|0|0.050000|1|EQ|CASH|NSE|INE542B01011|1|20178|- 
1321|AKZOINDIA|Akzo Nobel India Ltd|2140.15|0|0|0.050000|1|EQ|CASH|NSE|INE133A01011|1|1467|- 
20005|ALANKIT|Alankit Ltd|11.4|0|0|0.050000|1|EQ|CASH|NSE|INE914E01040|1|9921|- 
13506|ALBERTDA|Albert David Ltd|558.05|0|0|0.050000|1|EQ|CASH|NSE|INE155C01010|1|17256|- 
321|ALEMBICLTD|Alembic Ltd|66.75|0|0|0.050000|1|EQ|CASH|NSE|INE426A01027|1|79|- 
10949|APLLTD|Alembic Pharmaceuticals Ltd|548.15|0|0|0.050000|1|EQ|CASH|NSE|INE901L01018|1|25328|- 
6000|ALICON|Alicon Castalloy Ltd|881.85|0|0|0.050000|1|EQ|CASH|NSE|INE062D01024|1|13656|- 
9527|ALKALI|Alkali Metals Ltd|129.7|0|0|0.050000|1|EQ|CASH|NSE|INE773I01017|1|16959|- 
13482|ALKEM|Alkem Laboratories Ltd|3121.1|0|0|0.050000|1|EQ|CASH|NSE|INE540L01014|1|11703|- 
750|ALKYLAMINE|Alkyl Amines Chemicals Ltd|2975.8|0|0|0.050000|1|EQ|CASH|NSE|INE150B01039|1|4487|- 
